video_id,creator_id,archetype,niche_category,publish_date,video_length_mins,views,retention_rate,ctr,rpm,revenue
37523,1862,Consistent Volume Builders,Health & Fitness Coaching,2024-04-24,5.5,2830,27.39,7.32,3.08,8.72
47542,2145,Consistent Volume Builders,Health & Fitness Coaching,2024-04-23,6.2,152,32.28,2.18,2.79,0.42
3737,1627,Consistent Volume Builders,Lifestyle,2024-06-26,15.7,856,24.21,5.33,3.11,2.66
28909,1815,Consistent Volume Builders,Gaming,2024-06-13,9.5,251,26.58,3.46,1.88,0.47
85848,1429,Viral Spike Chasers,Entertainment,2024-05-16,8.4,1833,18.84,9.95,1.96,3.6
75716,2688,Consistent Volume Builders,Health & Fitness Coaching,2024-05-31,5.9,1592,36.71,6.26,3.08,4.91
26693,2949,Emerging Dabblers,Travel,2024-04-16,12.9,61,14.59,3.82,1.67,0.1
24152,1667,Consistent Volume Builders,Tech Deep-Dive Reviews,2024-05-29,6.9,268,27.82,6.45,2.48,0.67
42857,2341,Consistent Volume Builders,Food & Cooking,2024-05-17,10.5,862,30.87,6.0,2.89,2.49
40376,2006,Consistent Volume Builders,Personal Finance,2024-05-27,4.5,976,44.17,2.24,3.77,3.68
105336,1696,Consistent Volume Builders,Entertainment,2024-04-18,5.1,487,31.68,5.3,1.8,0.88
46598,3991,Emerging Dabblers,Lifestyle,2024-04-02,14.6,82,17.92,2.03,1.74,0.14
81733,2374,Consistent Volume Builders,DIY & Craft Tutorials,2024-04-29,17.1,1406,29.79,4.4,5.07,7.13
86133,1888,Consistent Volume Builders,DIY & Craft Tutorials,2024-05-02,7.1,260,32.21,3.52,2.01,0.52
53938,2624,Consistent Volume Builders,DIY & Craft Tutorials,2024-06-14,6.1,1087,35.29,7.86,3.43,3.73
34140,1079,Viral Spike Chasers,Tech Deep-Dive Reviews,2024-04-18,5.5,1382,17.83,9.44,2.79,3.85
98449,2312,Consistent Volume Builders,Travel,2024-05-26,10.4,203,40.83,4.1,2.7,0.55
50100,2078,Consistent Volume Builders,Personal Finance,2024-04-29,9.0,435,25.93,5.69,2.56,1.11
58106,1731,Consistent Volume Builders,Lifestyle,2024-05-06,11.0,551,22.07,5.02,2.01,1.11
106307,664,High-Retention Niche Specialists,DIY & Craft Tutorials,2024-05-04,17.8,2744,58.53,5.09,1.5,4.11
65206,994,High-Retention Niche Specialists,Personal Finance,2024-06-19,19.8,7471,57.37,5.85,0.43,3.25
91075,3705,Emerging Dabblers,Entertainment,2024-05-26,10.2,10,19.18,4.6,2.27,0.02
97698,741,High-Retention Niche Specialists,Tech Deep-Dive Reviews,2024-04-23,18.9,1998,61.27,7.18,1.25,2.5
112749,3486,Emerging Dabblers,Entertainment,2024-05-14,19.0,82,15.62,2.31,1.75,0.14
1739,3783,Emerging Dabblers,Food & Cooking,2024-04-28,22.7,31,21.6,3.74,2.3,0.07
98464,2312,Consistent Volume Builders,Travel,2024-06-26,10.7,128,38.49,5.04,2.37,0.3
42091,3122,Emerging Dabblers,Personal Finance,2024-06-08,12.6,34,17.64,3.14,1.02,0.03
60990,3265,Emerging Dabblers,Entertainment,2024-06-03,10.2,109,17.27,2.65,0.81,0.09
107008,3896,Emerging Dabblers,Food & Cooking,2024-05-06,5.8,71,20.73,4.15,1.5,0.11
27532,259,Subscriber Giants,Personal Finance,2024-06-20,8.4,10604,36.13,6.24,4.56,48.32
62217,1577,Consistent Volume Builders,Food & Cooking,2024-05-07,14.7,283,30.47,4.14,2.47,0.7
10394,681,High-Retention Niche Specialists,Health & Fitness Coaching,2024-06-28,24.5,354,36.76,6.11,1.29,0.46
13460,2683,Consistent Volume Builders,Health & Fitness Coaching,2024-05-28,3.4,226,36.97,5.13,2.79,0.63
48149,1961,Consistent Volume Builders,Education / Test Prep,2024-04-28,9.4,1338,34.46,3.65,2.0,2.68
43273,1539,Consistent Volume Builders,Gaming,2024-05-14,0.6,767,33.7,4.81,1.73,1.33
13407,1579,Consistent Volume Builders,Food & Cooking,2024-05-20,13.3,606,32.76,2.71,0.86,0.52
91031,1700,Consistent Volume Builders,Lifestyle,2024-06-21,1.8,2306,32.92,7.91,3.73,8.6
112288,3754,Emerging Dabblers,Lifestyle,2024-05-19,13.5,37,25.82,2.69,2.41,0.09
33386,1150,Viral Spike Chasers,Gaming,2024-04-12,0.5,1181,32.76,9.03,2.15,2.54
41255,124,Subscriber Giants,Entertainment,2024-05-11,21.2,37157,31.83,7.3,3.69,137.21
34376,2124,Consistent Volume Builders,Gaming,2024-05-11,5.8,140,22.73,4.6,2.13,0.3
96328,1786,Consistent Volume Builders,Travel,2024-04-07,10.2,93,31.52,3.37,1.79,0.17
65221,2261,Consistent Volume Builders,Food & Cooking,2024-04-16,14.6,819,37.11,5.43,1.94,1.59
93935,2493,Consistent Volume Builders,Travel,2024-05-16,11.1,110,25.56,4.1,3.17,0.35
2062,1488,Viral Spike Chasers,Gaming,2024-05-10,0.5,1419,28.73,7.58,1.45,2.05
105221,2295,Consistent Volume Builders,Food & Cooking,2024-05-30,15.1,264,29.39,2.51,1.73,0.46
92977,1543,Consistent Volume Builders,Food & Cooking,2024-04-09,16.4,318,31.95,5.11,3.11,0.99
2316,1425,Viral Spike Chasers,Lifestyle,2024-05-26,10.2,5103,22.52,10.89,1.17,5.99
85166,2879,Emerging Dabblers,Travel,2024-05-08,12.8,1405,21.73,3.64,2.73,3.83
60058,1978,Consistent Volume Builders,Food & Cooking,2024-06-04,12.2,211,28.08,6.22,1.85,0.39
76359,25,Subscriber Giants,Gaming,2024-04-25,11.3,3721,26.83,5.83,3.25,12.11
1018,2457,Consistent Volume Builders,Travel,2024-06-15,10.0,316,16.29,4.06,3.02,0.96
76320,1991,Consistent Volume Builders,DIY & Craft Tutorials,2024-05-01,8.2,211,31.38,4.41,1.62,0.34
58919,2749,Consistent Volume Builders,DIY & Craft Tutorials,2024-04-05,16.2,744,36.92,6.11,2.61,1.95
85049,2056,Consistent Volume Builders,Lifestyle,2024-05-31,9.0,779,42.47,3.85,2.33,1.81
83275,1306,Viral Spike Chasers,Lifestyle,2024-05-30,0.5,554,14.47,4.33,1.88,1.04
40707,2413,Consistent Volume Builders,Lifestyle,2024-04-01,7.8,479,40.23,7.57,2.86,1.37
1197,1988,Consistent Volume Builders,Food & Cooking,2024-04-29,13.9,141,24.36,5.43,3.78,0.53
53634,2448,Consistent Volume Builders,Lifestyle,2024-05-02,6.2,249,26.49,3.64,1.68,0.42
8584,1654,Consistent Volume Builders,DIY & Craft Tutorials,2024-05-12,13.3,118,39.13,2.08,3.51,0.41
97471,1665,Consistent Volume Builders,Travel,2024-06-01,7.1,172,26.38,3.03,3.8,0.65
91465,934,High-Retention Niche Specialists,Education / Test Prep,2024-06-29,24.0,2569,58.6,7.62,0.87,2.24
57271,1656,Consistent Volume Builders,Travel,2024-04-24,10.8,232,41.62,6.33,4.5,1.04
63731,1810,Consistent Volume Builders,Lifestyle,2024-06-02,10.8,1146,36.94,5.58,2.65,3.04
36806,2247,Consistent Volume Builders,Personal Finance,2024-06-09,7.5,32,32.21,5.25,2.8,0.09
73841,1940,Consistent Volume Builders,Lifestyle,2024-06-11,1.9,1187,22.79,5.04,2.45,2.91
39946,1144,Viral Spike Chasers,DIY & Craft Tutorials,2024-06-21,11.7,1936,22.07,6.85,1.65,3.2
18161,1075,Viral Spike Chasers,Lifestyle,2024-04-29,7.2,716,32.56,7.89,2.64,1.89
40257,3860,Emerging Dabblers,Education / Test Prep,2024-04-28,8.5,56,15.76,2.59,1.54,0.09
1135,706,High-Retention Niche Specialists,Personal Finance,2024-04-09,21.7,780,49.86,7.25,1.66,1.3
99378,2702,Consistent Volume Builders,DIY & Craft Tutorials,2024-06-18,15.0,589,34.27,8.99,2.8,1.65
19651,2464,Consistent Volume Builders,Travel,2024-04-19,13.2,65,37.71,5.25,1.06,0.07
100305,1347,Viral Spike Chasers,Lifestyle,2024-05-15,5.4,1061,15.96,9.04,2.24,2.37
69653,272,Subscriber Giants,Lifestyle,2024-04-23,1.5,40239,33.26,6.3,4.09,164.52
4185,2115,Consistent Volume Builders,Education / Test Prep,2024-05-17,10.8,1614,20.46,5.01,2.49,4.03
46268,2114,Consistent Volume Builders,Food & Cooking,2024-06-22,7.8,757,20.06,3.34,2.95,2.24
16099,193,Subscriber Giants,Tech Deep-Dive Reviews,2024-04-24,7.7,17211,24.16,7.18,3.59,61.74
40993,1207,Viral Spike Chasers,Entertainment,2024-06-07,0.5,262,22.87,5.52,1.21,0.32
11217,13,Subscriber Giants,Entertainment,2024-06-11,20.2,14525,37.16,4.64,2.3,33.39
44334,2689,Consistent Volume Builders,Travel,2024-05-15,15.5,239,43.24,4.9,1.8,0.43
107904,1924,Consistent Volume Builders,Travel,2024-04-05,10.0,672,19.55,7.69,2.75,1.84
95658,2739,Consistent Volume Builders,Personal Finance,2024-04-19,14.9,175,31.67,5.54,2.48,0.43
29591,1616,Consistent Volume Builders,Food & Cooking,2024-06-04,9.6,560,25.67,4.9,2.54,1.42
56018,1209,Viral Spike Chasers,Gaming,2024-04-01,4.8,3798,12.61,5.13,2.41,9.17
37474,1619,Consistent Volume Builders,Entertainment,2024-04-22,6.8,203,24.47,5.53,2.28,0.46
82872,1606,Consistent Volume Builders,Tech Deep-Dive Reviews,2024-05-03,4.9,170,28.38,4.64,1.44,0.25
21071,431,High-Retention Niche Specialists,Tech Deep-Dive Reviews,2024-05-01,16.1,2379,40.67,3.35,1.79,4.26
43168,253,Subscriber Giants,Personal Finance,2024-06-29,9.1,31174,38.81,7.01,4.59,143.18
96875,2142,Consistent Volume Builders,Food & Cooking,2024-04-13,7.3,136,31.44,5.67,3.42,0.46
28231,297,Subscriber Giants,Gaming,2024-05-22,18.9,64664,36.64,6.04,4.43,286.55
111774,2069,Consistent Volume Builders,DIY & Craft Tutorials,2024-06-22,9.9,274,24.1,6.49,2.94,0.81
72200,3165,Emerging Dabblers,Tech Deep-Dive Reviews,2024-06-24,20.5,113,13.81,3.89,2.04,0.23
112146,2748,Consistent Volume Builders,Lifestyle,2024-04-16,5.0,447,33.02,4.95,1.72,0.77
110855,1022,Viral Spike Chasers,Lifestyle,2024-04-21,1.2,989,33.53,11.54,1.46,1.44
85100,1050,Viral Spike Chasers,Gaming,2024-05-27,11.3,685,37.56,7.71,2.78,1.91
74389,452,High-Retention Niche Specialists,DIY & Craft Tutorials,2024-06-15,16.6,110,62.24,4.52,0.6,0.07
38624,2640,Consistent Volume Builders,Food & Cooking,2024-06-27,11.7,511,19.62,5.79,1.21,0.62
10017,2141,Consistent Volume Builders,Travel,2024-06-24,15.2,429,30.67,3.09,1.86,0.8
18109,1172,Viral Spike Chasers,Entertainment,2024-06-17,0.9,3383,35.19,11.15,1.37,4.63
69446,1166,Viral Spike Chasers,Lifestyle,2024-06-19,4.9,2260,21.42,12.41,2.37,5.36
94403,1549,Consistent Volume Builders,Lifestyle,2024-04-15,3.3,101,31.8,3.87,2.43,0.24
84303,2411,Consistent Volume Builders,Travel,2024-04-13,1.6,1016,22.41,4.89,3.85,3.92
48626,1739,Consistent Volume Builders,DIY & Craft Tutorials,2024-06-22,10.9,1048,25.51,4.51,3.54,3.71
112230,2048,Consistent Volume Builders,Health & Fitness Coaching,2024-04-28,11.5,771,36.17,4.64,4.24,3.27
17560,1741,Consistent Volume Builders,Food & Cooking,2024-05-16,11.6,1003,27.59,3.56,2.19,2.2
16484,1736,Consistent Volume Builders,Lifestyle,2024-04-01,9.2,232,20.06,4.67,2.44,0.57
78736,951,High-Retention Niche Specialists,Health & Fitness Coaching,2024-06-19,16.9,825,50.52,6.13,1.54,1.27
17748,2813,Emerging Dabblers,Entertainment,2024-04-07,17.6,49,22.19,3.06,0.34,0.02
8595,1654,Consistent Volume Builders,DIY & Craft Tutorials,2024-06-01,11.5,154,39.27,2.94,4.59,0.71
51840,498,High-Retention Niche Specialists,Personal Finance,2024-04-19,20.3,1933,58.38,5.42,1.18,2.28
55689,308,Subscriber Giants,DIY & Craft Tutorials,2024-04-06,7.1,49468,39.22,8.35,3.95,195.23
19361,2212,Consistent Volume Builders,Travel,2024-06-16,13.5,267,31.51,5.23,1.65,0.44
102301,878,High-Retention Niche Specialists,Education / Test Prep,2024-04-22,10.8,171,54.18,2.85,1.33,0.23
46495,2638,Consistent Volume Builders,Travel,2024-04-08,11.9,486,29.23,5.37,2.55,1.24
96514,1636,Consistent Volume Builders,Travel,2024-05-13,4.1,486,23.25,5.88,2.25,1.09
8372,2586,Consistent Volume Builders,Lifestyle,2024-06-27,10.3,313,37.61,4.25,2.79,0.87
37579,1962,Consistent Volume Builders,DIY & Craft Tutorials,2024-04-11,14.4,55,31.51,5.73,2.84,0.16
33103,2288,Consistent Volume Builders,DIY & Craft Tutorials,2024-05-15,5.5,221,29.01,5.95,1.59,0.35
51268,2373,Consistent Volume Builders,Tech Deep-Dive Reviews,2024-05-31,6.5,27,36.8,3.96,2.22,0.06
67035,2663,Consistent Volume Builders,DIY & Craft Tutorials,2024-04-17,5.7,1520,29.1,4.33,3.01,4.57
55789,2175,Consistent Volume Builders,Lifestyle,2024-05-19,7.5,405,25.02,4.73,3.13,1.27
69094,2235,Consistent Volume Builders,Personal Finance,2024-05-05,10.0,695,30.26,4.99,3.25,2.26
15322,2665,Consistent Volume Builders,Travel,2024-05-31,11.5,316,20.21,4.45,2.03,0.64
8422,803,High-Retention Niche Specialists,Personal Finance,2024-05-11,23.1,2950,59.67,4.53,0.97,2.86
98345,1596,Consistent Volume Builders,Travel,2024-04-06,16.5,180,25.5,5.25,1.49,0.27
6343,1937,Consistent Volume Builders,Travel,2024-04-18,10.7,314,40.32,5.33,1.94,0.61
88914,2001,Consistent Volume Builders,Travel,2024-06-24,11.9,559,35.29,4.22,2.23,1.25
70656,629,High-Retention Niche Specialists,Health & Fitness Coaching,2024-04-02,24.8,442,54.19,3.74,1.39,0.61
41691,3077,Emerging Dabblers,Education / Test Prep,2024-06-07,13.8,88,16.68,4.2,0.7,0.06
58773,2009,Consistent Volume Builders,Entertainment,2024-06-19,9.9,204,40.55,5.53,2.2,0.45
57246,1848,Consistent Volume Builders,DIY & Craft Tutorials,2024-06-26,10.0,568,33.25,3.69,2.76,1.57
52809,2698,Consistent Volume Builders,Education / Test Prep,2024-05-21,8.0,214,36.62,6.38,2.72,0.58
47643,1555,Consistent Volume Builders,Travel,2024-06-26,12.9,485,35.05,5.73,2.61,1.26
59591,2507,Consistent Volume Builders,DIY & Craft Tutorials,2024-05-27,10.9,224,29.56,4.32,2.53,0.57
44277,2243,Consistent Volume Builders,Travel,2024-05-18,8.3,140,42.51,3.92,2.67,0.37
110207,3797,Emerging Dabblers,Food & Cooking,2024-06-14,14.3,246,25.46,4.69,2.53,0.62
33310,1715,Consistent Volume Builders,Personal Finance,2024-06-11,10.5,1842,28.66,4.58,2.51,4.62
76951,2419,Consistent Volume Builders,Personal Finance,2024-04-15,8.6,245,32.08,4.74,2.49,0.61
42403,2250,Consistent Volume Builders,Travel,2024-05-18,5.4,599,23.45,6.14,2.4,1.44
20487,1925,Consistent Volume Builders,Food & Cooking,2024-06-27,10.8,121,30.49,5.26,3.0,0.36
59135,1958,Consistent Volume Builders,Tech Deep-Dive Reviews,2024-04-15,9.0,337,37.15,4.98,2.77,0.93
93917,2493,Consistent Volume Builders,Travel,2024-04-17,9.6,124,30.46,5.23,2.78,0.35
68849,1464,Viral Spike Chasers,Lifestyle,2024-04-27,14.2,531,24.1,10.52,2.85,1.51
81893,2622,Consistent Volume Builders,DIY & Craft Tutorials,2024-04-09,4.6,1163,52.39,5.03,2.17,2.53
22666,1722,Consistent Volume Builders,Travel,2024-06-18,7.0,205,32.23,6.54,2.88,0.59
81434,1574,Consistent Volume Builders,Food & Cooking,2024-06-28,8.6,600,27.87,4.27,2.67,1.6
74430,2539,Consistent Volume Builders,Travel,2024-06-08,13.2,1331,35.62,5.92,2.44,3.25
10015,2141,Consistent Volume Builders,Travel,2024-06-22,10.0,245,38.15,4.44,1.93,0.47
17511,1841,Consistent Volume Builders,DIY & Craft Tutorials,2024-04-29,7.9,205,35.87,2.36,1.84,0.38
95368,2547,Consistent Volume Builders,Education / Test Prep,2024-04-19,7.9,117,28.88,6.7,3.18,0.37
30944,1740,Consistent Volume Builders,Lifestyle,2024-06-20,6.0,32,29.72,4.42,1.62,0.05
49770,1784,Consistent Volume Builders,Health & Fitness Coaching,2024-05-12,14.9,1004,31.44,3.63,1.22,1.22
27471,2165,Consistent Volume Builders,Personal Finance,2024-06-26,14.8,186,19.56,7.02,2.82,0.53
6903,2733,Consistent Volume Builders,Lifestyle,2024-04-20,11.7,76,25.08,7.22,2.76,0.21
24022,2060,Consistent Volume Builders,Food & Cooking,2024-05-06,5.9,246,25.04,2.52,1.69,0.42
49098,50,Subscriber Giants,Entertainment,2024-06-05,14.1,12684,35.54,5.25,5.28,66.93
15483,2314,Consistent Volume Builders,Food & Cooking,2024-06-02,14.6,994,21.23,4.54,1.08,1.07
72518,3513,Emerging Dabblers,Gaming,2024-06-22,19.3,60,21.98,3.22,1.6,0.1
37260,273,Subscriber Giants,Lifestyle,2024-05-20,6.6,15016,37.37,5.43,3.26,48.95
37381,1913,Consistent Volume Builders,Lifestyle,2024-04-06,0.5,702,42.78,6.51,4.9,3.44
70884,1562,Consistent Volume Builders,Personal Finance,2024-04-09,11.5,124,22.6,5.07,2.32,0.29
39640,2005,Consistent Volume Builders,Travel,2024-06-10,7.3,41,26.82,4.9,2.3,0.09
68989,2109,Consistent Volume Builders,DIY & Craft Tutorials,2024-04-06,16.4,1367,25.69,4.9,2.4,3.28
109742,1153,Viral Spike Chasers,Gaming,2024-05-17,14.0,3573,27.42,7.59,2.6,9.28
9995,2141,Consistent Volume Builders,Travel,2024-05-20,10.7,614,24.11,4.05,1.91,1.17
102155,1604,Consistent Volume Builders,Health & Fitness Coaching,2024-05-12,17.4,469,31.18,5.45,2.09,0.98
109474,392,High-Retention Niche Specialists,Tech Deep-Dive Reviews,2024-06-05,18.1,138,55.3,4.75,1.81,0.25
11272,986,High-Retention Niche Specialists,Education / Test Prep,2024-06-17,12.3,359,61.02,7.28,2.08,0.75
48497,631,High-Retention Niche Specialists,Education / Test Prep,2024-04-03,10.5,1740,56.75,9.49,0.9,1.56
20301,843,High-Retention Niche Specialists,Tech Deep-Dive Reviews,2024-05-11,14.7,424,65.77,5.52,1.72,0.73
46654,2504,Consistent Volume Builders,DIY & Craft Tutorials,2024-05-03,13.6,413,36.24,5.14,2.61,1.08
51308,1358,Viral Spike Chasers,Entertainment,2024-05-27,0.5,8090,16.87,10.33,0.86,6.99
53355,19,Subscriber Giants,Personal Finance,2024-06-16,11.0,49190,39.38,8.62,4.25,209.26
86307,1936,Consistent Volume Builders,Health & Fitness Coaching,2024-04-19,12.2,388,37.28,5.94,1.97,0.77
98646,1716,Consistent Volume Builders,Tech Deep-Dive Reviews,2024-05-26,11.7,443,33.63,5.19,2.33,1.03
110470,1982,Consistent Volume Builders,Food & Cooking,2024-05-13,10.6,429,30.01,6.59,3.78,1.62
40937,742,High-Retention Niche Specialists,DIY & Craft Tutorials,2024-05-17,22.4,1535,56.26,5.02,1.15,1.77
8274,1689,Consistent Volume Builders,Lifestyle,2024-04-08,14.1,737,48.01,5.64,2.44,1.8
51853,498,High-Retention Niche Specialists,Personal Finance,2024-06-04,21.4,1961,53.76,7.28,1.12,2.2
52251,3132,Emerging Dabblers,Health & Fitness Coaching,2024-05-25,7.1,15,22.1,3.14,1.55,0.02
54513,2401,Consistent Volume Builders,Food & Cooking,2024-04-25,2.2,598,22.12,6.37,4.76,2.85
41227,422,High-Retention Niche Specialists,Personal Finance,2024-04-25,13.2,851,45.12,5.41,1.23,1.05
10712,2186,Consistent Volume Builders,DIY & Craft Tutorials,2024-06-27,15.6,39,29.86,6.8,2.85,0.11
104932,198,Subscriber Giants,Personal Finance,2024-06-15,18.0,5272,49.59,6.67,3.63,19.15
51245,2373,Consistent Volume Builders,Tech Deep-Dive Reviews,2024-05-04,8.4,73,33.77,6.98,2.17,0.16
8871,215,Subscriber Giants,Education / Test Prep,2024-04-20,12.3,8093,36.06,5.03,3.45,27.89
7683,2462,Consistent Volume Builders,Travel,2024-05-29,11.9,195,30.88,6.23,1.05,0.2
63101,1764,Consistent Volume Builders,Lifestyle,2024-04-15,4.6,1401,20.64,4.76,2.49,3.49
84603,2714,Consistent Volume Builders,DIY & Craft Tutorials,2024-04-12,6.9,79,28.02,6.52,2.84,0.22
33654,3862,Emerging Dabblers,DIY & Craft Tutorials,2024-06-24,14.1,10,22.12,4.34,1.67,0.02
81801,1459,Viral Spike Chasers,Tech Deep-Dive Reviews,2024-04-08,4.1,610,26.42,4.4,1.32,0.81
4976,319,High-Retention Niche Specialists,Education / Test Prep,2024-05-02,23.6,434,51.92,4.8,1.38,0.6
48784,1939,Consistent Volume Builders,DIY & Craft Tutorials,2024-06-15,15.3,244,33.28,5.13,2.7,0.66
60243,903,High-Retention Niche Specialists,Food & Cooking,2024-06-24,26.8,195,57.08,4.83,1.1,0.22
64119,2245,Consistent Volume Builders,Health & Fitness Coaching,2024-05-27,7.6,309,22.79,4.29,1.73,0.54
95152,1626,Consistent Volume Builders,Entertainment,2024-04-15,15.7,160,35.09,5.26,2.15,0.34
46809,1903,Consistent Volume Builders,Lifestyle,2024-06-28,3.38,195,32.59,3.7,2.6,0.51
8877,215,Subscriber Giants,Education / Test Prep,2024-05-02,5.7,11619,36.44,6.9,3.44,40.01
5600,2405,Consistent Volume Builders,Lifestyle,2024-04-26,10.2,644,41.2,6.3,4.56,2.93
37920,963,High-Retention Niche Specialists,Health & Fitness Coaching,2024-04-14,14.2,402,51.09,5.47,1.52,0.61
43974,1942,Consistent Volume Builders,Food & Cooking,2024-05-23,13.7,389,34.5,6.34,3.06,1.19
91552,1215,Viral Spike Chasers,Entertainment,2024-04-04,3.5,5102,11.21,12.09,2.27,11.6
29563,1616,Consistent Volume Builders,Food & Cooking,2024-04-13,5.6,920,37.03,6.34,2.22,2.04
67954,2402,Consistent Volume Builders,Personal Finance,2024-05-02,11.7,180,34.28,3.95,2.17,0.39
15973,1685,Consistent Volume Builders,DIY & Craft Tutorials,2024-05-03,6.1,1266,43.6,3.47,1.96,2.48
87389,2483,Consistent Volume Builders,Lifestyle,2024-04-21,11.3,1050,28.95,4.15,3.09,3.25
93518,1063,Viral Spike Chasers,Gaming,2024-05-14,16.3,467,25.38,9.29,0.92,0.43
52635,2012,Consistent Volume Builders,Gaming,2024-06-17,12.2,696,30.6,6.65,1.98,1.38
86455,2159,Consistent Volume Builders,Education / Test Prep,2024-04-22,11.6,4240,35.42,3.91,1.94,8.22
10618,2785,Emerging Dabblers,Personal Finance,2024-06-25,21.9,35,19.85,3.66,1.3,0.05
59522,186,Subscriber Giants,Entertainment,2024-05-24,9.4,22160,26.62,6.06,2.74,60.79
26724,2224,Consistent Volume Builders,Gaming,2024-05-01,12.0,103,33.45,3.69,2.99,0.31
86814,1876,Consistent Volume Builders,DIY & Craft Tutorials,2024-04-06,12.2,76,30.06,5.02,2.07,0.16
22325,222,Subscriber Giants,Personal Finance,2024-06-08,4.7,9534,47.27,4.78,5.34,50.9
106726,1409,Viral Spike Chasers,Gaming,2024-04-16,9.0,4200,32.35,7.52,2.19,9.18
93248,2706,Consistent Volume Builders,DIY & Craft Tutorials,2024-05-12,9.6,629,36.08,3.32,1.93,1.21
13706,1965,Consistent Volume Builders,DIY & Craft Tutorials,2024-05-30,9.2,1226,24.39,3.79,2.76,3.38
49484,2313,Consistent Volume Builders,Lifestyle,2024-05-19,12.9,359,37.8,4.33,2.59,0.93
98648,1716,Consistent Volume Builders,Tech Deep-Dive Reviews,2024-05-27,6.3,469,32.18,4.67,1.78,0.83
102095,3893,Emerging Dabblers,Personal Finance,2024-06-05,22.0,10,27.48,4.27,1.45,0.01
5394,1331,Viral Spike Chasers,Lifestyle,2024-04-07,5.8,294,20.86,7.69,2.33,0.69
18006,2214,Consistent Volume Builders,Lifestyle,2024-05-01,14.6,127,31.69,5.78,2.37,0.3
105510,1662,Consistent Volume Builders,Travel,2024-06-17,5.6,139,34.7,7.26,2.32,0.32
57723,1707,Consistent Volume Builders,Tech Deep-Dive Reviews,2024-06-14,9.4,882,18.37,3.72,2.92,2.58
96739,2266,Consistent Volume Builders,Food & Cooking,2024-05-14,13.8,398,19.46,4.82,3.16,1.26
8504,158,Subscriber Giants,Entertainment,2024-06-13,15.3,42487,34.85,6.61,3.6,152.93
74638,2491,Consistent Volume Builders,Travel,2024-06-10,13.9,881,30.89,7.64,4.54,4.0
