creator_id,archetype,niche_category,subscriber_count,channel_age_years,avg_retention_rate,avg_ctr,upload_freq_per_month,avg_video_length_mins,avg_video_len_std,rpm,monthly_views,revenue_90d
718,High-Retention Niche Specialists,Lifestyle,65740,2.1,57.32,5.0,4.0,24.1,1.09,1.15,12358,42.57
2400,Consistent Volume Builders,Travel,74275,2.5,33.32,4.11,18.7,9.7,3.3,2.17,6436,41.91
1279,Viral Spike Chasers,  Entertainment  ,279342,2.7,22.55,11.1,6.5,7.5,5.12,2.25,21939,147.95
2971,Emerging Dabblers,Personal Finance,976,1.8,21.74,2.12,1.9,5.3,4.07,,112,0.98
3932,new dabblers,Tech Deep-Dive Reviews,1439,1.0,19.97,1.86,0.5,5.2,2.98,1.77,119,0.63
3548,Emerging Dabblers,Health & Fitness Coaching,160,2.0,15.18,2.0,2.1,12.6,2.8,2.2,28,0.18
3410,Emerging Dabblers,Personal Finance,514,1.1,12.53,3.34,0.5,15.4,5.35,1.77,96,0.51
372,HR Niche Specialists,Education / Test Prep,71583,4.6,45.33,6.69,5.3,26.4,0.98,1.44,8715,37.58
2036,Consistent Volume Builders,DIY & Craft Tutorials,"120,964",0.9,33.99,5.97,16.6,14.9,2.09,1.52,20979,95.43
1278,Viral Spike Chasers,Health & Fitness Coaching,221449,0.4,16.91,10.78,8.8,7.6,4.35,1.14,40550,$139.01
2034,Consistent Volume Builders,Personal Finance,81249,3.0,28.72,4.99,15.0,10.5,2.18,3.29,12185,120.18
2041,consistent volume builders,Education / Test Prep,33784,2.6,32.71,4.99,19.3,9.9,2.09,2.71,4080,$33.14
290,Subscriber Giants,Education / Test Prep,1489696,7.3,36.1,5.42,13.6,7.3,3.16,3.54,89092,947.45
1010, Viral Spike Chasers ,Entertainment,368306,2.7,23.25,8.31,10.8,5.8,6.5,2.18,29450,192.58
3349,Emerging Dabblers,DIY/Crafts,1140,2.4,14.56,2.54,0.5,2.3,5.39,2.37,128,0.91
1257,Viral Spike Chasers,Personal Finance,322168,3.0,24.73,9.33,5.7,9.3,2.78,2.05,18338,112.57
315,High-Retention Niche Specialists,Lifestyle,"42,081",2.6,60.97,7.01,5.0,15.1,1.3,1.05,3038,9.55
2465,Consistent Volume Builders,DIY & Craft Tutorials,170711,4.3,30.36,3.01,25.0,10.3,1.98,2.39,32716,$234.75
1098,Viral Spike Chasers,Lifestyle,96001,4.0,17.18,9.2,11.1,7.8,3.21,1.52,8679,39.64
3490,Emerging Dabblers,Education / Test Prep,2210,0.9,19.25,4.06,0.5,17.9,2.62,1.99,181,1.08
256, Subscriber Giants ,Gaming,2473457,6.0,35.76,6.07,15.0,15.3,2.04,3.88,206913,2409.08
666,High-Retention Niche Specialists,Education / Test Prep,21593,4.9 years,55.36,4.87,4.2,22.3,1.58,1.43,882,3.78
2246,Consistent Volume Builders,DIY & Craft Tutorials,127409,2.8,31.04,,19.1,9.4,2.98,1.74,19359,101.33
534, High-Retention Niche Specialists ,Tech Deep-Dive Reviews,"87,412",4.0,55.98,5.66,7.3,23.5,1.94,1.17,3573,$12.59
49,Subscriber Giants,Education / Test Prep,"2,337,213",3.9,38.01,5.31,13.1,7.7,2.28,3.43,292950,3010.07
1786,Consistent Volume Builders,Travel,"16,163",1.8,29.96,4.5,15.1,7.4,2.71,1.78,1510,8.05
128,Subscriber giants,  Tech Deep-Dive Reviews  ,797589,6.7,40.63,5.77,15.4,15.5,2.75,6.07,136787,2491.43
2303,Consistent Volume Builders,Education / Test Prep,"48,015",3.1,27.74,5.32,22.8,4.8,1.74,1.85,5452,30.28
2146,Consistent Volume Builders,Travel,215892,3.8,,5.86,25.6,9.7,2.39,2.38,22529,161.12
1875, Consistent Volume Builders ,Food & Cooking,89164,20 months,25.78,3.48,19.8,10.8,2.21,2.64,9721,76.97
104,Subscriber Giants,TRAVEL,2417402,10.3,39.59,6.94,14.0,16.2,4.3,4.92,206336,3042.97
3622,Emerging Dabblers,Tech Deep-Dive Reviews,224,0.2,21.15,3.67,2.5,7.5,2.46,0.37,35,0.04
159,Subscriber Giants,Lifestyle,1186167,2.5,,8.08,10.0,15.0,3.11,5.35,137451,2204.69
934,High-Retention Niche Specialists,Education / Test Prep,97960,2.7,,5.83,6.5,22.5,1.65,1.22,16602,60.93
1033,Viral Spike Chasers,Gaming,138500,2.5,23.92,7.7,8.9,10.8,4.42,1.4,8159,$34.29
332,High-Retention Niche Specialists,Health & Fitness Coaching,52461,0.2,44.22,5.11,4.6,17.9,1.52,1.33,7457,29.75
1384,Viral Spike Chasers,Food & Cooking,363306,1.4,20.63,9.55,6.7,4.6,4.69,2.29,49511,339.54
2790,Emerging Dabblers,personal fin.,762,2.7,16.38,1.88,3.2,9.9,3.51,1.34,36,$0.15
2375,Consistent Volume Builders,Travel,78345,2.2,29.03,,20.9,10.2,0.55,2.59,11477,89.2
599,High-Retention Niche Specialists,Tech Deep-Dive Reviews,11790,2.3,53.59,5.55,6.0,16.6,1.59,0.85,2276,5.79
210,Subscriber Giants,Travel,1304485,6.8,34.71,5.68,14.1,14.4,5.31,4.61,203198,2810.01
3493,Emerging Dabblers,DIY & Craft Tutorials,167,0.2,17.66,2.71,3.2,12.1,5.45,1.7,10,0.05
2108,Consistent Volume Builders,  Travel  ,69000,1.9,30.11,3.44,20.0,10.5,2.12,2.94,3254,28.68
3193,Emerging Dabblers,Tech Deep-Dive Reviews,2269,0.4,134.7,1.76,2.6,21.3,5.07,2.07,152,0.94
3887,Emerging Dabblers,Gaming,100,1.1,13.53,3.67,1.0,10.0,8.33,1.95,15,0.09
72,Subscriber Giants,Travel,823470,4.1,33.07,5.24,10.9,18.8,1.67,2.56,95099,729.14
2174,Consistent Volume Builders,Food & Cooking,22782,5.1,32.0,5.08,15.8,8.2,0.51,2.38,3228,23.01
477,High-Retention Niche Specialists,Entertainment,8000,2.7,51.44,5.68,3.1,22.3,1.61,1.53,1535,7.05
3377, Emerging Dabblers ,Education / Test Prep,254,0.9,22.46,4.6,3.4,23.0,5.73,1.66,18,0.09
42,Subscriber Giants,Personal Finance,2161516,6.6,42.36,4.22,10.8,17.3,3.63,1.97,310834,"$1,833.55"
3204,Emerging Dabblers,Entertainment,12000,1.8,25.34,3.61,1.7,16.0,1.92,2.0,1873,11.24
247,Subscriber Giants,Entertainment,840956,3.5,33.1,6.41,9.6,12.6,2.98,4.47,74245,996.09
1586,Consistent Volume Builders,DIY & Craft Tutorials,22624,3.5,32.8,4.85,15.9,8.4,2.27,2.9,1472,$12.82
3198,emerging dabblers,Tech_Reviews,4481,2.3,22.73,2.33,2.7,13.5,4.97,1.23,728,2.69
3373,Emerging Dabblers,Gaming,2568,1.5,18.2,3.15,2.1,1.0,2.36,1.88,153,$0.86
3056,Emerging Dabblers,Food & Cooking,5323,5 months,15.14,3.01,1.9/month,14.0,5.11,1.35,549,2.23
2338,Consistent Volume Builders,Lifestyle,41701,1.4,28.89,3.76,17.4,5.9,2.14,2.76,6356,52.56
1020,Viral Spike Chasers,GAMING,263866,3.0 yrs,30.11,8.67,7.9,7.3,4.17,2.3,51146,352.68
367,High-Retention Niche Specialists,Health & Fitness Coaching,250000,2.9,48.95,6.34,5.4,28.0,1.49,1.32,22206,$87.63
2570,Consistent Volume Builders,Travel,50607,3.5,26.8,3.64,13.5,6.0,1.7,1.68,7480,37.78
947,High-Retention Niche Specialists,Gaming,29385,5.0,58.59,5.43,4.9,18.8,1.31,1.29,1831,7.11
3355,Emerging Dabblers,Lifestyle,1895,0.2,15.03,3.01,4.0,1.0,3.81,0.53,222,0.35
220,Subscriber Giants,Gaming,1059215,4.9,34.46,6.0,12.3,8.6,3.96,4.8,174714,2517.73
1837,Consistent Volume Builders,Food & Cooking,44263,2.1,31.62,5.86,10.4,13.4,0.93,2.4,6885,49.58
3247,Emerging Dabblers,Tech Deep-Dive Reviews,423,0.5,21.31,3.35,3.0,9.0,0.88,1.83,67,0.37
3348,Emerging Dabblers,Lifestyle,2286,0.2,,3.56,0.9,8.4,3.25,1.12,386,1.29
3942,Emerging Dabblers,Lifestyle,1230,1.6,29.82,3.82,1.2,1.9,6.05,1.59,188,0.9
649,High-Retention Niche Specialists,Personal Finance,35022,3.8 years,50.4,7.18,5.6,26.6,2.32,1.15,1673,5.77
676,High-Retention Niche Specialists,  Education / Test Prep  ,250000,4.7,47.61,4.67,8.1,13.8,1.28,1.48,29847,132.88
356,High-Retention Niche Specialists,diy & crafts,"61,610",2.2,,4.73,4.2,16.2,1.5,1.11,4299,14.37
2599,Consistent Volume Builders,GAMING,22609,4.5,35.98,4.41,12.2,13.0,1.91,,1466,11.27
3484,Emerging Dabblers,Gaming,601,0.8,21.79,3.54,1.4,12.2,5.67,2.64,90,0.71
272,Subscriber Giants,Lifestyle,1897114,6.4,33.88,7.25,9.4,6.3,2.56,4.62,306883,4249.15
1113,Viral Spike Chasers,Lifestyle,192473,1.9,27.08,10.04,5.9,10.9,4.07,2.25,26295,177.4
3650,Emerging Dabblers,Food & Cooking,4031,1.3,20.89,2.98,1.4,9.1,5.98,2.51,331,2.5
3003,Emerging Dabblers,Travel,475,0.7,11.88,3.3,2.1,7.8,5.0,1.41,47,0.2
1760,Consistent Volume Builders,  Tech Deep-Dive Reviews  ,54122,3.5,36.6,5.29,20.7,11.3,2.94,2.9,8122,70.68
1684,Consistent Volume Builders,  Tech Deep-Dive Reviews  ,72457,4.0,28.06,5.22,15.7,9.2,1.53,2.41,2901,21.01
1234,Viral Spike Chasers,Gaming,309051,3.2,18.74,9.04,11.6,8.1,6.05,2.38,35967,257.27
2448,Consistent Volume Builders,Lifestyle,75384,2.6,25.8,3.98,22.9,6.8,1.77,1.79,7382,39.53
2436,Consistent Volume Builders,Gaming,151853,3.8,35.3,3.65,17.3/month,14.4,1.58,3.19,24987,239.12
3269,Emerging Dabblers,Health & Fitness Coaching,1644,1.4,21.17,4.85,2.0,11.0,3.28,1.7,300,1.53
2845,Emerging Dabblers,Travel,1386,1.4,15.64,3.16,0.5,12.0,3.28,1.5,236,1.06
1737,Consistent Volume Builders,lifestyle,51083,4.7,29.91,5.65,17.1,8.1,2.4,3.37,9678,97.86
3907,Emerging Dabblers,Tech Deep-Dive Reviews,959,1.1,15.04,3.29,0.5,10.4,6.48,1.58,138,0.65
3943,Emerging Dabblers,Crafts,461,1.3,14.39,3.61,2.2/month,14.4,5.37,1.64,53,0.26
2283,Consistent Volume Builders,Tech Deep-Dive Reviews,"117,905",1.4,34.36,5.38,18.8,10.1,2.41,2.67,4963,39.71
891,High-Retention Niche Specialists,Education / Test Prep,25933,3.1,45.89,5.4,8.1,24.8,1.82,0.9,3625,9.78
698,High-Retention Niche Specialists,Health & Fitness Coaching,56201,2.7,56.51,6.49,4.2,21.8,1.22,1.69,2573,13.05
3175,Emerging Dabblers,Entertainment,1657,0.5,24.01,3.04,0.6,16.7,7.92,1.83,224,1.23
2609,Consistent Volume Builders,DIY & Craft Tutorials,44887,3.8,32.64,4.65,20.6,8.7,2.06,1.93,7063,40.99
3119,Emerging Dabblers,Gaming,813,0.9,25.15,2.9,1.7,20.9,3.71,1.0,149,0.45
2456,Consistent Volume Builders,travel,135754,3.2,31.88,4.06,17.2,8.0,0.84,1.65,14484,71.86
2568,Consistent Volume Builders,DIY & Craft Tutorials,75770,1.4,35.56,5.02,12.8,12.1,2.61,,9573,80.86
1055,Viral Spike Chasers,Gaming,138242,3.8,24.3,9.12,10.3,7.6,4.98,2.57,23037,177.85
1163,Viral Spike Chasers,Education / Test Prep,54187,2.7,18.9,8.73,7.5,5.2,5.84,1.93,8442,48.84
3971, Emerging Dabblers ,DIY & Craft Tutorials,"1,274",1.3,26.1,3.61,3.5,16.3,3.63,1.57,98,0.46
322,High-Retention Niche Specialists,Gaming,127278,5.5,53.55,5.75,6.3,25.2,1.05,0.77,6769,15.68
503,High-Retention Niche Specialists,Food & Cooking,29216,2.2,55.39,3.94,5.9,22.3,1.29,1.49,5173,23.13
278,Subscriber Giants,Gaming,833426,3.8,45.95,6.21,9.9,18.3,2.24,4.4,56409,744.92
1946,Consistent Volume Builders,Lifestyle,218809,3.3,34.35,4.91,15.1,10.4,2.68,3.08,11157,103.15
3026,Emerging Dabblers,Personal Finance,1258,1.2,14.44,3.15,4.3,13.8,5.97,3.3,123,1.22
2130,Consistent Volume Builders,Lifestyle,88414,2.0,31.56,3.93,20.1,3.0,0.74,1.34,16841,67.79
3435,Emerging Dabblers,DIY & Craft Tutorials,379,1.2,16.14,2.77,0.5,16.5,6.6,2.29,66,0.45
2531,Consistent Volume Builders,DIY & Craft Tutorials,19075,3.2,33.15,4.85,17.6,13.3,2.38,2.24,953,6.39
2774,Emerging Dabblers,Food & Cooking,422,0.8,13.67,3.48,2.2,5.1,3.63,1.49,38,0.17
2199,Consistent Volume Builders,Lifestyle,"15,000",2.7,33.55,4.62,23.5,10.4,2.92,3.06,922,$8.47
88,Subscriber Giants,Tech Deep-Dive Reviews,1592551,4.2,35.53,6.87,13.8,21.4,3.67,3.83,261608,3006.79
1266,Viral Spike Chasers,Entertainment,193988,3.1,16.97,10.4,8.3,2.7,4.58,2.58,24969,193.34
2080,Consistent Volume Builders,Health & Fitness Coaching,60083,2.4,29.49,5.5,13.6,8.8,2.78,1.87,6741,37.76
2445,Consistent Volume Builders,  Food & Cooking  ,"62,540",3.4,30.78,5.94,12.1,10.1,2.85,3.47,2856,29.72
622,High-Retention Niche Specialists,  Health & Fitness Coaching  ,8000,3.2,47.49,5.43,5.8,14.6,1.3,1.24,1017,3.79
3158,Emerging Dabblers,  Health & Fitness Coaching  ,12000,0.2,16.62,1.65,0.6,12.4,5.47,1.9,749,4.27
2997,Emerging Dabblers,Education / Test Prep,2420,2.0,20.46,4.1,2.8,1.0,5.37,1.21,250,$0.91
3510,Emerging Dabblers,Gaming,1159,2.2,21.64,3.29,2.0,6.4,5.12,0.41,120,0.15
1121,Viral Spike Chasers,gaming,80099,2.8,21.02,8.24,9.5,7.3,7.11,2.69,10657,85.93
2558,Consistent Volume Builders,DIY & Craft Tutorials,43139,2.7,33.18,4.31,25.4,4.6,1.49,2.44,5473,40.1
3754,new dabblers,Lifestyle,811,1.1,28.32,4.1,3.2,14.9,5.87,2.21,129,0.85
147,Subscriber Giants,Health & Fitness Coaching,1111593,4.6,40.2,8.0,13.3,6.5,2.05,4.77,96563,1380.51
3908, Emerging Dabblers ,Tech Deep-Dive Reviews,2561,2.5,25.77,2.36,1.0,12.6,3.7,2.07,210,1.31
573,High-Retention Niche Specialists,Personal Finance,53833,3.6,53.57,5.26,8.0,23.0,0.62,1.15,7371,25.43
1580,consistent volume builders,Travel,"116,357",5.4,33.62,4.49,21.2,11.4,2.21,3.14,14132,132.93
611,High-Retention Niche Specialists,Personal Finance,"63,040",3.9,58.1,4.05,8.6,12.7,1.14,1.37,9951,40.92
1851,Consistent Volume Builders,DIY & Craft Tutorials,"52,647",4.6,30.46,4.53,18.5,8.9,1.6,2.25,10311,69.74
3654,Emerging Dabblers,Education / Test Prep,444,0.2,23.32,2.96,1.3,16.0,7.59,1.62,32,0.16
3580,Emerging Dabblers,gaming,2954,0.6,20.51,3.72,0.7,9.8,3.79,-0.98,461,1.41
1396,Viral Spike Chasers,Gaming,332252,2.4,20.5,7.76,7.7,9.3,5.21,1.57,20050,94.28
1735,Consistent Volume Builders,Travel,213839,1.5,29.91,5.84,13.8,11.5,1.37,2.53,31358,237.8
3215,Emerging Dabblers,Food & Cooking,271,2.3 yrs,18.77,2.58,0.8,8.1,5.5,2.46,47,0.35
720,High-Retention Niche Specialists,Education / Test Prep,18328,2.8,50.39,5.92,9.7,24.3,1.3,1.11,3140,10.42
2750, Consistent Volume Builders ,Entertainment,"61,758",3.9,34.21,5.74,19.2,6.6,1.97,2.67,3615,28.98
3900,Emerging Dabblers,Lifestyle,2353,0.8,16.02,2.96,1.9,1.0,0.2,2.15,264,1.7
2836,Emerging Dabblers,Lifestyle,2127,1.5,18.73,4.31,0.7,16.0,8.9,2.35,87,0.61
2629,Consistent Volume Builders,Lifestyle,93911,3.9,,4.59,23.2,11.2,2.79,2.3,14577,100.4
479,High-Retention Niche Specialists,personal fin.,34160,2.3,,2.57,7.0,3.1,1.95,0.81,5678,13.74
3603,Emerging Dabblers,Entertainment,640,0.2,21.44,4.93,1.2,6.4,6.34,1.86,64,0.36
2343,Consistent Volume Builders,Travel,113503,3.2,31.01,5.36,16.2,4.0,2.67,2.0,19040,114.03
2420, Consistent Volume Builders ,Travel,84471,4.5,28.46,5.38,19.5,11.2,1.83,2.93,7714,67.76
3688,emerging dabblers,Food & Cooking,1779,1.3,23.52,3.4,0.5,11.7,6.27,,188,1.23
733,High-Retention Niche Specialists,Personal Finance,34183,1.5,54.23,5.9,7.7,12.4,0.92,1.4,2600,10.9
2975,Emerging Dabblers,Cooking,722,0.2,14.25,2.65,1.8,11.4,5.26,2.2,137,0.9
2038,Consistent Volume Builders,DIY & Craft Tutorials,77142,4.2,34.91,4.81,15.1,12.5,2.05,3.61,12095,131.1
2754,Consistent Volume Builders,DIY & Craft Tutorials,147877,2.7,37.17,4.55,16.4,13.4,2.89,3.47,27104,282.54
1165, Viral Spike Chasers ,Entertainment,521326,2.3,27.23,7.71,6.3,7.0,8.23,2.22,81331,541.92
2159,Consistent Volume Builders,Education / Test Prep,155166,1.8,31.57,3.42,15.0,11.6,1.14,2.09,30999,194.07
488,High-Retention Niche Specialists,Health & Fitness Coaching,8000,2.3,59.29,4.65,6.8,18.2,0.97,1.01,698,2.12
365,High-Retention Niche Specialists,Personal_Finance,"26,497",4.0,52.99,5.28,3.8,22.1,0.97,1.78,4810,25.64
3974, Emerging Dabblers ,Entertainment,135,0.2,22.48,2.72,1.2,10.1,5.03,,14,0.04
1820,Consistent Volume Builders,DIY,28021,1.2,28.32,,17.9,14.1,1.19,2.59,2169,16.86
2860,Emerging Dabblers,Travel,2093,1.1,14.9,3.41,2.5,3.5,3.74,1.42,147,0.63
3897,Emerging Dabblers,Education / Test Prep,626,0.3,18.75,2.08,3.7,7.3,5.12,2.21,77,0.51
1892,Consistent Volume Builders,Tech Deep-Dive Reviews,58108,1.5,36.39,5.57,21.4,7.0,0.83,2.86,2867,24.56
2050,Consistent Volume Builders,TRAVEL,29841,4.6,26.16,4.83,21.3,7.3,2.24,3.82,5192,59.57
760,High-Retention Niche Specialists,Entertainment,72937,3.0,59.55,5.35,8.0,11.6,1.74,1.27,10316,39.21
2581,Consistent Volume Builders,Travel,58299,3.9,35.08,4.32,16.6,11.5,2.31,1.03,4949,$15.33
40,Subscriber Giants,Food & Cooking,2299419,4.8,42.51,5.72,8.9,13.9,1.43,4.71,458805,6479.96
1122,Viral Spike Chasers,food and cooking,165060,18 months,22.37,9.22,8.8,2.5,3.95,2.53,9775,74.27
2878,Emerging Dabblers,Gaming,317,2.0,17.66,4.6,3.8,19.7,4.79,1.77,52,0.28
1497,Viral Spike Chasers,Entertainment,141645,3.1,18.59,9.96,3.8,6.2,5.33,1.56,6526,30.52
2202,Consistent Builders,Lifestyle,104896,4.2,33.47,4.27,13.4,10.8,3.56,2.5,16734,125.4
2106,Consistent Volume Builders,LIFESTYLE,65030,3.8 yrs,32.48,4.52,17.3,8.1,2.5,2.42,10855,78.66
799,High-Retention Niche Specialists,Health & Fitness Coaching,22473,0.9,55.7,5.47,5.4,19.4,1.03,0.89,914,2.44
1506,Viral Spike Chasers,Lifestyle,"310,739",1.7,29.93,7.83,9.9/month,11.1,4.05,2.15,56267,363.17
2720,Consistent Volume Builders,Personal Finance,84451,2.2,34.0,4.83,17.5,10.6,2.24,1.45,16474,71.7
2260,Consistent Volume Builders,Tech Deep-Dive Reviews,43341,0.9,30.67,4.51,18.8,10.8,2.91,1.98,2123,12.6
3249,Emerging Dabblers,Entertainment,257,1.3,20.3,4.46,2.4,9.1,4.91,1.81,50,0.27
1967,Consistent Volume Builders,  Food & Cooking  ,59420,2.9,31.43,4.19,13.6,8.7,1.18,2.31,10113,69.96
1858,Consistent Volume Builders,Gaming,36038,3.1,26.52,6.09,19.6,13.3,1.9,2.91,5935,51.76
1428,ViralSpikeChaser,Lifestyle,96448,2.0,20.62,9.53,9.8,5.1,3.32,1.29,12735,49.25
3695,Emerging Dabblers,Tech Deep-Dive Reviews,100,0.2,18.12,4.58,2.4,6.9,4.33,2.21,4,0.03
241,Subscriber Giants,Gaming,954453,6.4,40.03,5.34,9.7,15.3,2.46,5.03,136058,2052.7
2656,Consistent Volume Builders,  Gaming  ,62515,2.9,27.92,6.29,12.6,9.3,2.29,3.34,10742,107.66
1522,Viral Spike Chasers,Lifestyle,113378,4.0,21.94,10.57,8.3,15.8,5.25,2.01,7607,45.85
3322,Emerging Dabblers,Food & Cooking,10590,1.3,10.28,3.36,2.1,4.2,2.94,1.83,835,4.58
2133,Consistent Volume Builders,Food & Cooking,220000,3.3,34.5,4.02,22.6,10.1,1.4,2.74,22350,183.43
3361,Emerging Dabblers,Gaming,966,1.7,12.14,1.94,3.3,11.3,5.21,1.15,110,0.38
2037,Consistent Volume Builders,Gaming,28985,3.3,,4.89,24.2,9.1,2.08,,3821,30.44
3582,Emerging Dabblers,Personal Finance,524,0.7,21.9,2.11,2.3,11.7,6.68,1.39,79,0.33
958,High-Retention Niche Specialists,Entertainment,97018,2.4,47.91,5.93,6.6,26.6,1.28,,9461,48.98
218,Subscriber Giants,Lifestyle,3414440,96 months,,6.14,10.3,14.2,2.71,4.67,198806,2787.81
2735,Consistent Volume Builders,DIY & Craft Tutorials,31077,4.9,27.84,3.77,20.5,3.8,2.39,3.38,4424,44.86
1629,Consistent Volume Builders,DIY & Craft Tutorials,44178,3.3,34.29,4.91,14.5,10.5,1.37,2.19,3340,21.98
3429,Emerging Dabblers,Entertainment,109,1.9,,2.94,2.4,2.8,9.12,2.23,14,$0.09
1771,Consistent Volume Builders,Food & Cooking,24681,2.8,34.73,7.2,14.4,15.9,2.49,,1425,11.85
2098,Consistent Volume Builders,Travel,24210,4.5,23.15,4.12,20.9,8.3,2.5,2.8,3541,29.71
3715,Emerging Dabblers,  Education / Test Prep  ,611,1.2,13.4,2.52,3.7,9.6,3.92,2.31,52,0.36
2443, Consistent Volume Builders ,Travel,36713,5.7,32.93,5.24,21.0,13.2,2.61,3.12,3906,36.53
1996,Consistent Volume Builders,Food & Cooking,75502,4.0,33.54,4.82,13.8,8.7,1.94,2.27,5552,37.88
475,High-Retention Niche Specialists,Personal Finance,29323,3.4,53.99,4.59,7.1,19.1,1.07,1.76,2227,11.77
131,Subscriber Giants,Personal Finance,"1,263,332",7.1,40.33,8.06,8.8,15.2,1.97,4.65,164336,2291.11
736,High-Retention Niche Specialists,Tech Deep-Dive Reviews,172414,2.1 years,52.89,4.65,5.3,20.4,1.8,1.18,28241,100.31
1002,Viral Spike Chasers,Entertainment,537788,1.4,28.48,9.78,12.7,11.9,3.97,2.79,57719,482.52
2066,Consistent Volume Builders,  Travel  ,21976,3.0,30.86,5.81,16.2,7.8,2.44,2.9,3071,$26.72
1826,Consistent Volume Builders,Lifestyle,42652,2.3,32.47,5.12,23.2,9.3,0.77,2.85,7598,65.0
2472,Consistent Volume Builders,Food & Cooking,55045,1.7,29.82,4.51,19.8,7.4,1.56,1.93,5265,30.46
1873,Consistent Volume Builders,DIY & Craft Tutorials,114615,1.2,38.06,4.86,20.3,10.4,2.76,1.85,7771,43.13
1435,Viral Spike Chasers,  Travel  ,"48,304",1.8,,8.36,10.1,4.4,2.85,1.67,6664,$33.35
719,High-Retention Niche Specialists,DIY & Craft Tutorials,71534,3.0,56.39,6.24,8.4,25.8,0.82,1.7,3364,17.19
2612,Consistent Volume Builders,Education / Test Prep,66490,0.8,35.47,4.68,27.4,9.9,1.78,2.06,8593,53.16
1105,Viral Spike Chasers,Food & Cooking,154009,2.9,18.22,8.09,6.9,8.8,7.08,,12570,67.86
3154,Emerging Dabblers,Education / Test Prep,2972,0.8,20.71,2.95,2.8,6.4,3.68,2.13,581,3.71
1596,Consistent Volume Builders,Travel,58429,4.1,22.64,4.71,23.5,13.6,2.79,1.22,3396,12.45
1756,Consistent Volume Builders,Food & Cooking,107900,3.2,32.91,6.42,13.0,5.5,1.6,2.6,20792,162.3
654,High-Retention Niche Specialists,Lifestyle,32430,3.0,53.04,5.05,6.5,12.6,1.24,1.21,5803,21.08
2161,Consistent Volume Builders,DIY & Craft Tutorials,119580,3.5,30.86,4.13,22.9,8.7,2.82,2.34,21912,153.88
