creator_id,archetype,niche_category,subscriber_count,channel_age_years,avg_retention_rate,avg_ctr,upload_freq_per_month,avg_video_length_mins,avg_video_len_std,rpm,monthly_views,revenue_90d,len_consistency_score,subscriber_tier
413,High-Retention Niche Specialists,Education / Test Prep,34362,3.3,50.47,5.31,7.2,19.2,1.91,1.4,4965,20.9,85.5,Mid (10K-100K)
3282,Emerging Dabblers,DIY & Craft Tutorials,1047,1.7,23.39,4.42,0.5,15.4,4.01,2.23,75,0.5,69.6,Small (1K-10K)
2294,Consistent Volume Builders,DIY & Craft Tutorials,83029,1.7,34.98,3.46,22.0,13.7,1.87,2.61,11401,89.38,85.8,Mid (10K-100K)
3885,Emerging Dabblers,Entertainment,535,1.6,18.35,2.55,2.5,5.0,4.33,2.92,100,0.88,67.1,Micro (<1K)
1884,Consistent Volume Builders,Gaming,25832,3.0,36.63,5.41,20.1,14.1,2.55,2.5,3631,27.24,80.7,Mid (10K-100K)
1862,Consistent Volume Builders,Health & Fitness Coaching,137637,1.3,27.26,5.98,14.7,4.6,1.1,3.47,27188,283.23,91.7,Large (100K-500K)
1579,Consistent Volume Builders,Food & Cooking,124489,2.3,28.06,4.99,17.9,13.0,2.39,0.96,16129,46.26,81.9,Large (100K-500K)
718,High-Retention Niche Specialists,Lifestyle,65740,2.1,57.32,5.0,4.0,24.1,1.09,1.15,12358,42.57,91.7,Mid (10K-100K)
2400,Consistent Volume Builders,Travel,74275,2.5,33.32,4.11,18.7,9.7,3.3,2.17,6436,41.91,75.0,Mid (10K-100K)
1279,Viral Spike Chasers,Entertainment,279342,2.7,22.55,11.1,6.5,7.5,5.12,2.25,21939,147.95,61.2,Large (100K-500K)
2971,Emerging Dabblers,Personal Finance,976,1.8,21.74,2.12,1.9,5.3,4.07,1.81,112,0.98,69.1,Micro (<1K)
3932,Emerging Dabblers,Tech Deep-Dive Reviews,1439,1.0,19.97,1.86,0.5,5.2,2.98,1.77,119,0.63,77.4,Small (1K-10K)
3548,Emerging Dabblers,Health & Fitness Coaching,160,2.0,15.18,2.0,2.1,12.6,2.8,2.2,28,0.18,78.8,Micro (<1K)
3410,Emerging Dabblers,Personal Finance,514,1.1,12.53,3.34,0.5,15.4,5.35,1.77,96,0.51,59.4,Micro (<1K)
372,High-Retention Niche Specialists,Education / Test Prep,71583,4.6,45.33,6.69,5.3,26.4,0.98,1.44,8715,37.58,92.6,Mid (10K-100K)
2036,Consistent Volume Builders,DIY & Craft Tutorials,120964,0.9,33.99,5.97,16.6,14.9,2.09,1.52,20979,95.43,84.1,Large (100K-500K)
1278,Viral Spike Chasers,Health & Fitness Coaching,221449,0.4,16.91,10.78,8.8,7.6,4.35,1.14,40550,139.01,67.0,Large (100K-500K)
2034,Consistent Volume Builders,Personal Finance,81249,3.0,28.72,4.99,15.0,10.5,2.18,3.29,12185,120.18,83.5,Mid (10K-100K)
2041,Consistent Volume Builders,Education / Test Prep,33784,2.6,32.71,4.99,19.3,9.9,2.09,2.71,4080,33.14,84.1,Mid (10K-100K)
290,Subscriber Giants,Education / Test Prep,1489696,7.3,36.1,5.42,13.6,7.3,3.16,3.54,89092,947.45,76.0,Mega (500K+)
1010,Viral Spike Chasers,Entertainment,368306,2.7,23.25,8.31,10.8,5.8,6.5,2.18,29450,192.58,50.7,Large (100K-500K)
3349,Emerging Dabblers,DIY & Craft Tutorials,1140,2.4,14.56,2.54,0.5,2.3,5.39,2.37,128,0.91,59.1,Small (1K-10K)
1257,Viral Spike Chasers,Personal Finance,322168,3.0,24.73,9.33,5.7,9.3,2.78,2.05,18338,112.57,78.9,Large (100K-500K)
315,High-Retention Niche Specialists,Lifestyle,42081,2.6,60.97,7.01,5.0,15.1,1.3,1.05,3038,9.55,90.1,Mid (10K-100K)
2465,Consistent Volume Builders,DIY & Craft Tutorials,170711,4.3,30.36,3.01,25.0,10.3,1.98,2.39,32716,234.75,85.0,Large (100K-500K)
1098,Viral Spike Chasers,Lifestyle,96001,4.0,17.18,9.2,11.1,7.8,3.21,1.52,8679,39.64,75.6,Mid (10K-100K)
3490,Emerging Dabblers,Education / Test Prep,2210,0.9,19.25,4.06,0.5,17.9,2.62,1.99,181,1.08,80.1,Small (1K-10K)
256,Subscriber Giants,Gaming,2473457,6.0,35.76,6.07,15.0,15.3,2.04,3.88,206913,2409.08,84.5,Mega (500K+)
666,High-Retention Niche Specialists,Education / Test Prep,21593,4.9,55.36,4.87,4.2,22.3,1.58,1.43,882,3.78,88.0,Mid (10K-100K)
2246,Consistent Volume Builders,DIY & Craft Tutorials,127409,2.8,31.04,4.85,19.1,9.4,2.98,1.74,19359,101.33,77.4,Large (100K-500K)
534,High-Retention Niche Specialists,Tech Deep-Dive Reviews,87412,4.0,55.98,5.66,7.3,23.5,1.94,1.17,3573,12.59,85.3,Mid (10K-100K)
49,Subscriber Giants,Education / Test Prep,2337213,3.9,38.01,5.31,13.1,7.7,2.28,3.43,292950,3010.07,82.7,Mega (500K+)
1786,Consistent Volume Builders,Travel,16163,1.8,29.96,4.5,15.1,7.4,2.71,1.78,1510,8.05,79.4,Mid (10K-100K)
128,Subscriber Giants,Tech Deep-Dive Reviews,797589,6.7,40.63,5.77,15.4,15.5,2.75,6.07,136787,2491.43,79.1,Mega (500K+)
2303,Consistent Volume Builders,Education / Test Prep,48015,3.1,27.74,5.32,22.8,4.8,1.74,1.85,5452,30.28,86.8,Mid (10K-100K)
2146,Consistent Volume Builders,Travel,215892,3.8,31.75,5.86,25.6,9.7,2.39,2.38,22529,161.12,81.9,Large (100K-500K)
1875,Consistent Volume Builders,Food & Cooking,89164,1.67,25.78,3.48,19.8,10.8,2.21,2.64,9721,76.97,83.2,Mid (10K-100K)
104,Subscriber Giants,TRAVEL,2417402,10.3,39.59,6.94,14.0,16.2,4.3,4.92,206336,3042.97,67.4,Mega (500K+)
3622,Emerging Dabblers,Tech Deep-Dive Reviews,224,0.2,21.15,3.67,2.5,7.5,2.46,0.37,35,0.04,81.3,Micro (<1K)
159,Subscriber Giants,Lifestyle,1186167,2.5,38.73,8.08,10.0,15.0,3.11,5.35,137451,2204.69,76.4,Mega (500K+)
934,High-Retention Niche Specialists,Education / Test Prep,97960,2.7,54.0,5.83,6.5,22.5,1.65,1.22,16602,60.93,87.5,Mid (10K-100K)
1033,Viral Spike Chasers,Gaming,138500,2.5,23.92,7.7,8.9,10.8,4.42,1.4,8159,34.29,66.5,Large (100K-500K)
332,High-Retention Niche Specialists,Health & Fitness Coaching,52461,0.2,44.22,5.11,4.6,17.9,1.52,1.33,7457,29.75,88.5,Mid (10K-100K)
1384,Viral Spike Chasers,Food & Cooking,363306,1.4,20.63,9.55,6.7,4.6,4.69,2.29,49511,339.54,64.4,Large (100K-500K)
2790,Emerging Dabblers,Personal Finance,762,2.7,16.38,1.88,3.2,9.9,3.51,1.34,36,0.15,73.4,Micro (<1K)
2375,Consistent Volume Builders,Travel,78345,2.2,29.03,4.85,20.9,10.2,0.55,2.59,11477,89.2,95.8,Mid (10K-100K)
599,High-Retention Niche Specialists,Tech Deep-Dive Reviews,11790,2.3,53.59,5.55,6.0,16.6,1.59,0.85,2276,5.79,87.9,Mid (10K-100K)
210,Subscriber Giants,Travel,1304485,6.8,34.71,5.68,14.1,14.4,5.31,4.61,203198,2810.01,59.7,Mega (500K+)
3493,Emerging Dabblers,DIY & Craft Tutorials,167,0.2,17.66,2.71,3.2,12.1,5.45,1.7,10,0.05,58.6,Micro (<1K)
2108,Consistent Volume Builders,Travel,69000,1.9,30.11,3.44,20.0,10.5,2.12,2.94,3254,28.68,83.9,Mid (10K-100K)
3193,Emerging Dabblers,Tech Deep-Dive Reviews,2269,0.4,19.33,1.76,2.6,21.3,5.07,2.07,152,0.94,61.5,Small (1K-10K)
3887,Emerging Dabblers,Gaming,100,1.1,13.53,3.67,1.0,10.0,8.33,1.95,15,0.09,36.8,Micro (<1K)
72,Subscriber Giants,Travel,823470,4.1,33.07,5.24,10.9,18.8,1.67,2.56,95099,729.14,87.3,Mega (500K+)
2174,Consistent Volume Builders,Food & Cooking,22782,5.1,32.0,5.08,15.8,8.2,0.51,2.38,3228,23.01,96.1,Mid (10K-100K)
477,High-Retention Niche Specialists,Entertainment,8000,2.7,51.44,5.68,3.1,22.3,1.61,1.53,1535,7.05,87.8,Small (1K-10K)
3377,Emerging Dabblers,Education / Test Prep,254,0.9,22.46,4.6,3.4,23.0,5.73,1.66,18,0.09,56.5,Micro (<1K)
42,Subscriber Giants,Personal Finance,2161516,6.6,42.36,4.22,10.8,17.3,3.63,1.97,310834,1833.55,72.5,Mega (500K+)
3204,Emerging Dabblers,Entertainment,12000,1.8,25.34,3.61,1.7,16.0,1.92,2.0,1873,11.24,85.4,Mid (10K-100K)
247,Subscriber Giants,Entertainment,840956,3.5,33.1,6.41,9.6,12.6,2.98,4.47,74245,996.09,77.4,Mega (500K+)
1586,Consistent Volume Builders,DIY & Craft Tutorials,22624,3.5,32.8,4.85,15.9,8.4,2.27,2.9,1472,12.82,82.8,Mid (10K-100K)
3198,Emerging Dabblers,Tech Deep-Dive Reviews,4481,2.3,22.73,2.33,2.7,13.5,4.97,1.23,728,2.69,62.3,Small (1K-10K)
3373,Emerging Dabblers,Gaming,2568,1.5,18.2,3.15,2.1,1.0,2.36,1.88,153,0.86,82.1,Small (1K-10K)
3056,Emerging Dabblers,Food & Cooking,5323,0.42,15.14,3.01,1.9,14.0,5.11,1.35,549,2.23,61.2,Small (1K-10K)
2338,Consistent Volume Builders,Lifestyle,41701,1.4,28.89,3.76,17.4,5.9,2.14,2.76,6356,52.56,83.8,Mid (10K-100K)
1020,Viral Spike Chasers,GAMING,263866,3.0,30.11,8.67,7.9,7.3,4.17,2.3,51146,352.68,68.4,Large (100K-500K)
367,High-Retention Niche Specialists,Health & Fitness Coaching,250000,2.9,48.95,6.34,5.4,28.0,1.49,1.32,22206,87.63,88.7,Large (100K-500K)
2570,Consistent Volume Builders,Travel,50607,3.5,26.8,3.64,13.5,6.0,1.7,1.68,7480,37.78,87.1,Mid (10K-100K)
947,High-Retention Niche Specialists,Gaming,29385,5.0,58.59,5.43,4.9,18.8,1.31,1.29,1831,7.11,90.1,Mid (10K-100K)
3355,Emerging Dabblers,Lifestyle,1895,0.2,15.03,3.01,4.0,1.0,3.81,0.53,222,0.35,71.1,Small (1K-10K)
220,Subscriber Giants,Gaming,1059215,4.9,34.46,6.0,12.3,8.6,3.96,4.8,174714,2517.73,70.0,Mega (500K+)
1837,Consistent Volume Builders,Food & Cooking,44263,2.1,31.62,5.86,10.4,13.4,0.93,2.4,6885,49.58,92.9,Mid (10K-100K)
3247,Emerging Dabblers,Tech Deep-Dive Reviews,423,0.5,21.31,3.35,3.0,9.0,0.88,1.83,67,0.37,93.3,Micro (<1K)
3348,Emerging Dabblers,Lifestyle,2286,0.2,19.33,3.56,0.9,8.4,3.25,1.12,386,1.29,75.3,Small (1K-10K)
3942,Emerging Dabblers,Lifestyle,1230,1.6,29.82,3.82,1.2,1.9,6.05,1.59,188,0.9,54.1,Small (1K-10K)
649,High-Retention Niche Specialists,Personal Finance,35022,3.8,50.4,7.18,5.6,26.6,2.32,1.15,1673,5.77,82.4,Mid (10K-100K)
676,High-Retention Niche Specialists,Education / Test Prep,250000,4.7,47.61,4.67,8.1,13.8,1.28,1.48,29847,132.88,90.3,Large (100K-500K)
356,High-Retention Niche Specialists,DIY & Craft Tutorials,61610,2.2,54.0,4.73,4.2,16.2,1.5,1.11,4299,14.37,88.6,Mid (10K-100K)
2599,Consistent Volume Builders,GAMING,22609,4.5,35.98,4.41,12.2,13.0,1.91,2.64,1466,11.27,85.5,Mid (10K-100K)
3484,Emerging Dabblers,Gaming,601,0.8,21.79,3.54,1.4,12.2,5.67,2.64,90,0.71,57.0,Micro (<1K)
272,Subscriber Giants,Lifestyle,1897114,6.4,33.88,7.25,9.4,6.3,2.56,4.62,306883,4249.15,80.6,Mega (500K+)
1113,Viral Spike Chasers,Lifestyle,192473,1.9,27.08,10.04,5.9,10.9,4.07,2.25,26295,177.4,69.1,Large (100K-500K)
3650,Emerging Dabblers,Food & Cooking,4031,1.3,20.89,2.98,1.4,9.1,5.98,2.51,331,2.5,54.6,Small (1K-10K)
3003,Emerging Dabblers,Travel,475,0.7,11.88,3.3,2.1,7.8,5.0,1.41,47,0.2,62.1,Micro (<1K)
1760,Consistent Volume Builders,Tech Deep-Dive Reviews,54122,3.5,36.6,5.29,20.7,11.3,2.94,2.9,8122,70.68,77.7,Mid (10K-100K)
1684,Consistent Volume Builders,Tech Deep-Dive Reviews,72457,4.0,28.06,5.22,15.7,9.2,1.53,2.41,2901,21.01,88.4,Mid (10K-100K)
1234,Viral Spike Chasers,Gaming,309051,3.2,18.74,9.04,11.6,8.1,6.05,2.38,35967,257.27,54.1,Large (100K-500K)
2448,Consistent Volume Builders,Lifestyle,75384,2.6,25.8,3.98,22.9,6.8,1.77,1.79,7382,39.53,86.6,Mid (10K-100K)
2436,Consistent Volume Builders,Gaming,151853,3.8,35.3,3.65,17.3,14.4,1.58,3.19,24987,239.12,88.0,Large (100K-500K)
3269,Emerging Dabblers,Health & Fitness Coaching,1644,1.4,21.17,4.85,2.0,11.0,3.28,1.7,300,1.53,75.1,Small (1K-10K)
2845,Emerging Dabblers,Travel,1386,1.4,15.64,3.16,0.5,12.0,3.28,1.5,236,1.06,75.1,Small (1K-10K)
1737,Consistent Volume Builders,Lifestyle,51083,4.7,29.91,5.65,17.1,8.1,2.4,3.37,9678,97.86,81.8,Mid (10K-100K)
3907,Emerging Dabblers,Tech Deep-Dive Reviews,959,1.1,15.04,3.29,0.5,10.4,6.48,1.58,138,0.65,50.8,Micro (<1K)
3943,Emerging Dabblers,DIY & Craft Tutorials,461,1.3,14.39,3.61,2.2,14.4,5.37,1.64,53,0.26,59.3,Micro (<1K)
2283,Consistent Volume Builders,Tech Deep-Dive Reviews,117905,1.4,34.36,5.38,18.8,10.1,2.41,2.67,4963,39.71,81.7,Large (100K-500K)
891,High-Retention Niche Specialists,Education / Test Prep,25933,3.1,45.89,5.4,8.1,24.8,1.82,0.9,3625,9.78,86.2,Mid (10K-100K)
698,High-Retention Niche Specialists,Health & Fitness Coaching,56201,2.7,56.51,6.49,4.2,21.8,1.22,1.69,2573,13.05,90.7,Mid (10K-100K)
3175,Emerging Dabblers,Entertainment,1657,0.5,24.01,3.04,0.6,16.7,7.92,1.83,224,1.23,39.9,Small (1K-10K)
2609,Consistent Volume Builders,DIY & Craft Tutorials,44887,3.8,32.64,4.65,20.6,8.7,2.06,1.93,7063,40.99,84.4,Mid (10K-100K)
3119,Emerging Dabblers,Gaming,813,0.9,25.15,2.9,1.7,20.9,3.71,1.0,149,0.45,71.9,Micro (<1K)
2456,Consistent Volume Builders,travel,135754,3.2,31.88,4.06,17.2,8.0,0.84,1.65,14484,71.86,93.6,Large (100K-500K)
2568,Consistent Volume Builders,DIY & Craft Tutorials,75770,1.4,35.56,5.02,12.8,12.1,2.61,2.64,9573,80.86,80.2,Mid (10K-100K)
1055,Viral Spike Chasers,Gaming,138242,3.8,24.3,9.12,10.3,7.6,4.98,2.57,23037,177.85,62.2,Large (100K-500K)
1163,Viral Spike Chasers,Education / Test Prep,54187,2.7,18.9,8.73,7.5,5.2,5.84,1.93,8442,48.84,55.7,Mid (10K-100K)
3971,Emerging Dabblers,DIY & Craft Tutorials,1274,1.3,26.1,3.61,3.5,16.3,3.63,1.57,98,0.46,72.5,Small (1K-10K)
322,High-Retention Niche Specialists,Gaming,127278,5.5,53.55,5.75,6.3,25.2,1.05,0.77,6769,15.68,92.0,Large (100K-500K)
503,High-Retention Niche Specialists,Food & Cooking,29216,2.2,55.39,3.94,5.9,22.3,1.29,1.49,5173,23.13,90.2,Mid (10K-100K)
278,Subscriber Giants,Gaming,833426,3.8,45.95,6.21,9.9,18.3,2.24,4.4,56409,744.92,83.0,Mega (500K+)
1946,Consistent Volume Builders,Lifestyle,218809,3.3,34.35,4.91,15.1,10.4,2.68,3.08,11157,103.15,79.7,Large (100K-500K)
3026,Emerging Dabblers,Personal Finance,1258,1.2,14.44,3.15,4.3,13.8,5.97,3.3,123,1.22,54.7,Small (1K-10K)
2130,Consistent Volume Builders,Lifestyle,88414,2.0,31.56,3.93,20.1,3.0,0.74,1.34,16841,67.79,94.4,Mid (10K-100K)
3435,Emerging Dabblers,DIY & Craft Tutorials,379,1.2,16.14,2.77,0.5,16.5,6.6,2.29,66,0.45,49.9,Micro (<1K)
2531,Consistent Volume Builders,DIY & Craft Tutorials,19075,3.2,33.15,4.85,17.6,13.3,2.38,2.24,953,6.39,81.9,Mid (10K-100K)
2774,Emerging Dabblers,Food & Cooking,422,0.8,13.67,3.48,2.2,5.1,3.63,1.49,38,0.17,72.5,Micro (<1K)
2199,Consistent Volume Builders,Lifestyle,15000,2.7,33.55,4.62,23.5,10.4,2.92,3.06,922,8.47,77.8,Mid (10K-100K)
88,Subscriber Giants,Tech Deep-Dive Reviews,1592551,4.2,35.53,6.87,13.8,21.4,3.67,3.83,261608,3006.79,72.2,Mega (500K+)
1266,Viral Spike Chasers,Entertainment,193988,3.1,16.97,10.4,8.3,2.7,4.58,2.58,24969,193.34,65.3,Large (100K-500K)
2080,Consistent Volume Builders,Health & Fitness Coaching,60083,2.4,29.49,5.5,13.6,8.8,2.78,1.87,6741,37.76,78.9,Mid (10K-100K)
2445,Consistent Volume Builders,Food & Cooking,62540,3.4,30.78,5.94,12.1,10.1,2.85,3.47,2856,29.72,78.4,Mid (10K-100K)
622,High-Retention Niche Specialists,Health & Fitness Coaching,8000,3.2,47.49,5.43,5.8,14.6,1.3,1.24,1017,3.79,90.1,Small (1K-10K)
3158,Emerging Dabblers,Health & Fitness Coaching,12000,0.2,16.62,1.65,0.6,12.4,5.47,1.9,749,4.27,58.5,Mid (10K-100K)
2997,Emerging Dabblers,Education / Test Prep,2420,2.0,20.46,4.1,2.8,1.0,5.37,1.21,250,0.91,59.3,Small (1K-10K)
3510,Emerging Dabblers,Gaming,1159,2.2,21.64,3.29,2.0,6.4,5.12,0.41,120,0.15,61.2,Small (1K-10K)
1121,Viral Spike Chasers,gaming,80099,2.8,21.02,8.24,9.5,7.3,7.11,2.69,10657,85.93,46.1,Mid (10K-100K)
2558,Consistent Volume Builders,DIY & Craft Tutorials,43139,2.7,33.18,4.31,25.4,4.6,1.49,2.44,5473,40.1,88.7,Mid (10K-100K)
3754,Emerging Dabblers,Lifestyle,811,1.1,28.32,4.1,3.2,14.9,5.87,2.21,129,0.85,55.5,Micro (<1K)
147,Subscriber Giants,Health & Fitness Coaching,1111593,4.6,40.2,8.0,13.3,6.5,2.05,4.77,96563,1380.51,84.4,Mega (500K+)
3908,Emerging Dabblers,Tech Deep-Dive Reviews,2561,2.5,25.77,2.36,1.0,12.6,3.7,2.07,210,1.31,71.9,Small (1K-10K)
573,High-Retention Niche Specialists,Personal Finance,53833,3.6,53.57,5.26,8.0,23.0,0.62,1.15,7371,25.43,95.3,Mid (10K-100K)
1580,Consistent Volume Builders,Travel,116357,5.4,33.62,4.49,21.2,11.4,2.21,3.14,14132,132.93,83.2,Large (100K-500K)
611,High-Retention Niche Specialists,Personal Finance,63040,3.9,58.1,4.05,8.6,12.7,1.14,1.37,9951,40.92,91.4,Mid (10K-100K)
1851,Consistent Volume Builders,DIY & Craft Tutorials,52647,4.6,30.46,4.53,18.5,8.9,1.6,2.25,10311,69.74,87.9,Mid (10K-100K)
3654,Emerging Dabblers,Education / Test Prep,444,0.2,23.32,2.96,1.3,16.0,7.59,1.62,32,0.16,42.4,Micro (<1K)
3580,Emerging Dabblers,gaming,2954,0.6,20.51,3.72,0.7,9.8,3.79,1.81,461,1.41,71.2,Small (1K-10K)
1396,Viral Spike Chasers,Gaming,332252,2.4,20.5,7.76,7.7,9.3,5.21,1.57,20050,94.28,60.5,Large (100K-500K)
1735,Consistent Volume Builders,Travel,213839,1.5,29.91,5.84,13.8,11.5,1.37,2.53,31358,237.8,89.6,Large (100K-500K)
3215,Emerging Dabblers,Food & Cooking,271,2.3,18.77,2.58,0.8,8.1,5.5,2.46,47,0.35,58.3,Micro (<1K)
720,High-Retention Niche Specialists,Education / Test Prep,18328,2.8,50.39,5.92,9.7,24.3,1.3,1.11,3140,10.42,90.1,Mid (10K-100K)
2750,Consistent Volume Builders,Entertainment,61758,3.9,34.21,5.74,19.2,6.6,1.97,2.67,3615,28.98,85.1,Mid (10K-100K)
3900,Emerging Dabblers,Lifestyle,2353,0.8,16.02,2.96,1.9,1.0,0.2,2.15,264,1.7,98.5,Small (1K-10K)
2836,Emerging Dabblers,Lifestyle,2127,1.5,18.73,4.31,0.7,16.0,8.9,2.35,87,0.61,32.5,Small (1K-10K)
2629,Consistent Volume Builders,Lifestyle,93911,3.9,31.75,4.59,23.2,11.2,2.79,2.3,14577,100.4,78.8,Mid (10K-100K)
479,High-Retention Niche Specialists,Personal Finance,34160,2.3,54.0,2.57,7.0,3.1,1.95,0.81,5678,13.74,85.2,Mid (10K-100K)
3603,Emerging Dabblers,Entertainment,640,0.2,21.44,4.93,1.2,6.4,6.34,1.86,64,0.36,51.9,Micro (<1K)
2343,Consistent Volume Builders,Travel,113503,3.2,31.01,5.36,16.2,4.0,2.67,2.0,19040,114.03,79.7,Large (100K-500K)
2420,Consistent Volume Builders,Travel,84471,4.5,28.46,5.38,19.5,11.2,1.83,2.93,7714,67.76,86.1,Mid (10K-100K)
3688,Emerging Dabblers,Food & Cooking,1779,1.3,23.52,3.4,0.5,11.7,6.27,1.81,188,1.23,52.4,Small (1K-10K)
733,High-Retention Niche Specialists,Personal Finance,34183,1.5,54.23,5.9,7.7,12.4,0.92,1.4,2600,10.9,93.0,Mid (10K-100K)
2975,Emerging Dabblers,Food & Cooking,722,0.2,14.25,2.65,1.8,11.4,5.26,2.2,137,0.9,60.1,Micro (<1K)
2038,Consistent Volume Builders,DIY & Craft Tutorials,77142,4.2,34.91,4.81,15.1,12.5,2.05,3.61,12095,131.1,84.4,Mid (10K-100K)
2754,Consistent Volume Builders,DIY & Craft Tutorials,147877,2.7,37.17,4.55,16.4,13.4,2.89,3.47,27104,282.54,78.1,Large (100K-500K)
1165,Viral Spike Chasers,Entertainment,521326,2.3,27.23,7.71,6.3,7.0,8.23,2.22,81331,541.92,37.6,Mega (500K+)
2159,Consistent Volume Builders,Education / Test Prep,155166,1.8,31.57,3.42,15.0,11.6,1.14,2.09,30999,194.07,91.4,Large (100K-500K)
488,High-Retention Niche Specialists,Health & Fitness Coaching,8000,2.3,59.29,4.65,6.8,18.2,0.97,1.01,698,2.12,92.6,Small (1K-10K)
365,High-Retention Niche Specialists,Personal Finance,26497,4.0,52.99,5.28,3.8,22.1,0.97,1.78,4810,25.64,92.6,Mid (10K-100K)
3974,Emerging Dabblers,Entertainment,135,0.2,22.48,2.72,1.2,10.1,5.03,1.81,14,0.04,61.8,Micro (<1K)
1820,Consistent Volume Builders,DIY & Craft Tutorials,28021,1.2,28.32,4.85,17.9,14.1,1.19,2.59,2169,16.86,91.0,Mid (10K-100K)
2860,Emerging Dabblers,Travel,2093,1.1,14.9,3.41,2.5,3.5,3.74,1.42,147,0.63,71.6,Small (1K-10K)
3897,Emerging Dabblers,Education / Test Prep,626,0.3,18.75,2.08,3.7,7.3,5.12,2.21,77,0.51,61.2,Micro (<1K)
1892,Consistent Volume Builders,Tech Deep-Dive Reviews,58108,1.5,36.39,5.57,21.4,7.0,0.83,2.86,2867,24.56,93.7,Mid (10K-100K)
2050,Consistent Volume Builders,TRAVEL,29841,4.6,26.16,4.83,21.3,7.3,2.24,3.82,5192,59.57,83.0,Mid (10K-100K)
760,High-Retention Niche Specialists,Entertainment,72937,3.0,59.55,5.35,8.0,11.6,1.74,1.27,10316,39.21,86.8,Mid (10K-100K)
2581,Consistent Volume Builders,Travel,58299,3.9,35.08,4.32,16.6,11.5,2.31,1.03,4949,15.33,82.5,Mid (10K-100K)
40,Subscriber Giants,Food & Cooking,2299419,4.8,42.51,5.72,8.9,13.9,1.43,4.71,458805,6479.96,89.2,Mega (500K+)
1122,Viral Spike Chasers,Food & Cooking,165060,1.5,22.37,9.22,8.8,2.5,3.95,2.53,9775,74.27,70.0,Large (100K-500K)
2878,Emerging Dabblers,Gaming,317,2.0,17.66,4.6,3.8,19.7,4.79,1.77,52,0.28,63.7,Micro (<1K)
1497,Viral Spike Chasers,Entertainment,141645,3.1,18.59,9.96,3.8,6.2,5.33,1.56,6526,30.52,59.6,Large (100K-500K)
2202,Consistent Volume Builders,Lifestyle,104896,4.2,33.47,4.27,13.4,10.8,3.56,2.5,16734,125.4,73.0,Large (100K-500K)
